"Candidate" "Thermometer"
"Trump" 1
"Trump" 28
"Trump" 100
"Trump" 0
"Trump" 13
"Trump" 61
"Trump" 5
"Trump" 85
"Trump" 70
"Trump" 5
"Trump" 74
"Trump" 95
"Trump" 39
"Trump" 82
"Trump" 91
"Trump" 51
"Trump" 51
"Trump" 59
"Trump" 86
"Trump" 1
"Trump" 2
"Trump" 13
"Trump" 1
"Trump" 8
"Trump" 2
"Trump" 33
"Trump" 72
"Trump" 1
"Trump" 1
"Trump" 16
"Trump" 18
"Trump" 1
"Trump" 51
"Trump" 31
"Trump" 2
"Trump" 1
"Trump" 2
"Trump" 20
"Trump" 88
"Trump" 70
"Trump" 69
"Trump" 0
"Trump" 65
"Trump" 1
"Trump" 5
"Trump" 13
"Trump" 7
"Trump" 6
"Trump" 1
"Trump" 46
"Trump" 12
"Trump" 4
"Trump" 60
"Trump" 0
"Trump" 92
"Trump" 1
"Trump" 100
"Trump" 3
"Trump" 3
"Trump" 0
"Trump" 0
"Trump" 0
"Trump" 0
"Trump" 45
"Trump" 0
"Trump" 0
"Trump" 6
"Trump" 0
"Trump" 49
"Trump" 95
"Trump" 71
"Trump" 6
"Trump" 6
"Trump" 95
"Trump" 1
"Trump" 99
"Trump" 1
"Trump" 80
"Trump" 97
"Trump" 60
"Trump" 100
"Trump" 10
"Trump" 2
"Trump" 11
"Trump" 69
"Trump" 31
"Trump" 0
"Trump" 54
"Trump" 88
"Trump" 89
"Trump" 6
"Trump" 0
"Trump" 95
"Trump" 0
"Trump" 2
"Trump" 6
"Trump" 79
"Trump" 75
"Trump" 0
"Trump" 70
"Trump" 2
"Trump" 88
"Trump" 1
"Trump" 0
"Trump" 1
"Trump" 0
"Trump" 11
"Trump" 1
"Trump" 10
"Trump" 75
"Trump" 98
"Trump" 6
"Trump" 95
"Trump" 97
"Trump" 2
"Trump" 85
"Trump" 5
"Trump" 0
"Trump" 13
"Trump" 6
"Trump" 56
"Trump" 64
"Trump" 91
"Trump" 75
"Trump" 1
"Trump" 1
"Trump" 75
"Trump" 70
"Trump" 87
"Trump" 0
"Trump" 0
"Trump" 80
"Trump" 100
"Trump" 88
"Trump" 11
"Trump" 61
"Trump" 90
"Trump" 10
"Trump" 0
"Trump" 19
"Trump" 62
"Trump" 61
"Trump" 0
"Trump" 2
"Trump" 20
"Trump" 79
"Trump" 10
"Trump" 48
"Trump" 90
"Trump" 41
"Trump" 84
"Trump" 94
"Trump" 95
"Trump" 20
"Trump" 96
"Trump" 65
"Trump" 1
"Trump" 71
"Trump" 12
"Trump" 1
"Trump" 70
"Trump" 20
"Trump" 60
"Trump" 61
"Trump" 0
"Trump" 41
"Trump" 32
"Trump" 41
"Trump" 0
"Trump" 33
"Trump" 92
"Trump" 90
"Trump" 0
"Trump" 100
"Trump" 0
"Trump" 69
"Trump" 60
"Trump" 84
"Trump" 97
"Trump" 70
"Trump" 66
"Trump" 93
"Trump" 90
"Trump" 0
"Trump" 21
"Trump" 0
"Trump" 1
"Trump" 95
"Trump" 80
"Trump" 2
"Trump" 1
"Trump" 5
"Trump" 68
"Trump" 52
"Trump" 34
"Trump" 71
"Trump" 91
"Trump" 89
"Trump" 0
"Trump" 97
"Trump" 95
"Trump" 94
"Trump" 10
"Trump" 52
"Trump" 58
"Trump" 80
"Trump" 1
"Trump" 97
"Trump" 5
"Trump" 89
"Trump" 98
"Trump" 100
"Trump" 2
"Trump" 60
"Trump" 86
"Trump" 0
"Trump" 22
"Trump" 41
"Trump" 91
"Trump" 44
"Trump" 91
"Trump" 0
"Trump" 60
"Trump" 1
"Trump" 4
"Trump" 69
"Trump" 61
"Trump" 72
"Trump" 0
"Trump" 95
"Trump" 2
"Trump" 56
"Trump" 45
"Trump" 40
"Trump" 36
"Trump" 1
"Trump" 1
"Trump" 41
"Trump" 98
"Trump" 89
"Trump" 0
"Trump" 0
"Trump" 34
"Trump" 40
"Trump" 41
"Trump" 4
