"sex" "game.type" "identify" "empathy"
"female" "neutral" 3.33333333333333 5.28571428571429
"female" "neutral" 1.83333333333333 5.57142857142857
"male" "neutral" 1 4.71428571428571
"female" "neutral" 1 5.57142857142857
"female" "neutral" 3.33333333333333 3.14285714285714
"female" "neutral" 1 5.57142857142857
"male" "neutral" 5.33333333333333 3
"female" "neutral" 2.66666666666667 5.28571428571429
"female" "neutral" 5.66666666666667 5
"female" "neutral" 3.33333333333333 3.85714285714286
"female" "neutral" 4 6
"male" "neutral" 5.83333333333333 3.71428571428571
"female" "neutral" 1 5
"female" "neutral" 1 5.14285714285714
"female" "neutral" 3.66666666666667 4.71428571428571
"female" "neutral" 2.16666666666667 4.57142857142857
"male" "GTA" 5 5.14285714285714
"female" "GTA" 3.66666666666667 6.42857142857143
"male" "GTA" 6.33333333333333 3.85714285714286
"male" "GTA" 4.83333333333333 3.71428571428571
"male" "GTA" 4.66666666666667 6.28571428571429
"male" "GTA" 4.66666666666667 5.57142857142857
"female" "GTA" 2.5 4.28571428571429
"male" "HalfLife" 6.66666666666667 3.28571428571429
"male" "HalfLife" 4 5.57142857142857
"male" "HalfLife" 6.33333333333333 5.42857142857143
"female" "HalfLife" 3.16666666666667 3.57142857142857
"female" "HalfLife" 6.33333333333333 5.85714285714286
"male" "HalfLife" 3.66666666666667 6
"male" "HalfLife" 5.33333333333333 2.57142857142857
"male" "HalfLife" 4 4.57142857142857
"male" "HalfLife" 5.83333333333333 6
"female" "HalfLife" 5.33333333333333 5.42857142857143
"female" "HalfLife" 4.83333333333333 4.42857142857143
"female" "HalfLife" 5.33333333333333 4.42857142857143
"male" "HalfLife" 5 5.42857142857143
"female" "HalfLife" 2.5 7
"male" "HalfLife" 5.16666666666667 6.16666666666667
"female" "HalfLife" 4.66666666666667 5.14285714285714
"male" "HalfLife" 7 6
"female" "HalfLife" 3.83333333333333 4.57142857142857
"male" "neutral" 3.5 3.71428571428571
"male" "neutral" 5.83333333333333 7
"male" "neutral" 6.33333333333333 6.85714285714286
"male" "neutral" 5.5 4.85714285714286
"male" "neutral" 4.5 4.28571428571429
"female" "neutral" 4 5.85714285714286
"male" "neutral" 4.16666666666667 4.42857142857143
"male" "neutral" 4.5 5.28571428571429
"male" "neutral" 5.5 5
"male" "neutral" 4.33333333333333 5.71428571428571
"male" "neutral" 6.16666666666667 6.42857142857143
"male" "neutral" 4.66666666666667 4.14285714285714
"male" "neutral" 5.33333333333333 5.14285714285714
"male" "neutral" 2.5 5.42857142857143
"female" "neutral" 3 4.28571428571429
"female" "neutral" 4 4.83333333333333
"male" "neutral" 5.66666666666667 6.28571428571429
"male" "neutral" 1.5 6.42857142857143
"female" "neutral" 5 6.28571428571429
"female" "neutral" 5.83333333333333 6.42857142857143
"female" "neutral" 2.5 5.14285714285714
"female" "neutral" 1.66666666666667 3.71428571428571
"male" "neutral" 5.83333333333333 3.14285714285714
"female" "neutral" 2.5 5.28571428571429
"female" "neutral" 5.16666666666667 4.85714285714286
"female" "HalfLife" 5.66666666666667 5
"male" "HalfLife" 5.5 6.28571428571429
"female" "HalfLife" 4.33333333333333 5.57142857142857
"female" "HalfLife" 4 6.85714285714286
"male" "HalfLife" 5.5 5.57142857142857
"female" "HalfLife" 1.33333333333333 4.71428571428571
"male" "HalfLife" 3.33333333333333 5.71428571428571
"male" "HalfLife" 6.16666666666667 5.14285714285714
"female" "HalfLife" 3.83333333333333 5.42857142857143
"female" "HalfLife" 7 6.42857142857143
"male" "HalfLife" 5 5
"female" "HalfLife" 4.16666666666667 5.28571428571429
"male" "HalfLife" 2.83333333333333 4
"female" "HalfLife" 4.83333333333333 6.28571428571429
"female" "HalfLife" 4.16666666666667 5.42857142857143
"male" "HalfLife" 4.33333333333333 5.57142857142857
"female" "HalfLife" 4.83333333333333 5.28571428571429
"female" "HalfLife" 5.66666666666667 5.14285714285714
"female" "HalfLife" 4 5.71428571428571
"female" "HalfLife" 5.16666666666667 6.28571428571429
"male" "HalfLife" 5.66666666666667 7
"female" "HalfLife" 7 5.28571428571429
"female" "HalfLife" 5.16666666666667 6.42857142857143
"male" "HalfLife" 3.66666666666667 3.85714285714286
"male" "HalfLife" 3.83333333333333 5.28571428571429
"male" "HalfLife" 5.33333333333333 5.85714285714286
"male" "HalfLife" 4.5 5.57142857142857
"female" "HalfLife" 6.16666666666667 4.57142857142857
"male" "HalfLife" 4.16666666666667 4
"female" "HalfLife" 4.33333333333333 4.42857142857143
"female" "GTA" 4.66666666666667 5.85714285714286
"male" "GTA" 5 3.42857142857143
"male" "GTA" 5.16666666666667 5.42857142857143
"male" "GTA" 5.16666666666667 2.28571428571429
"male" "GTA" 4.5 5.71428571428571
"male" "GTA" 4.16666666666667 4.57142857142857
"male" "GTA" 4.33333333333333 5
"male" "GTA" 3.16666666666667 5.42857142857143
"male" "GTA" 2 5.85714285714286
"male" "GTA" 4.5 4.42857142857143
"female" "neutral" 3.83333333333333 5.42857142857143
"female" "neutral" 5.66666666666667 4.42857142857143
"male" "neutral" 5 4.71428571428571
"female" "neutral" 5.16666666666667 6.57142857142857
"male" "neutral" 3.66666666666667 4.28571428571429
"female" "neutral" 3.5 5.71428571428571
"female" "GTA" 2.83333333333333 6.42857142857143
"female" "GTA" 1.33333333333333 6.57142857142857
"female" "GTA" 3.83333333333333 4.71428571428571
"female" "GTA" 4 5.71428571428571
"female" "GTA" 6 4.71428571428571
"female" "neutral" 3 4.42857142857143
"female" "neutral" 3.33333333333333 5.14285714285714
"female" "neutral" 4.83333333333333 5
"female" "HalfLife" 6.33333333333333 5.57142857142857
"female" "GTA" 2.66666666666667 4.57142857142857
"female" "GTA" 3.66666666666667 5.71428571428571
"female" "GTA" 5.33333333333333 6.28571428571429
"female" "GTA" 3.5 2.57142857142857
"female" "GTA" 4.83333333333333 6.42857142857143
"female" "GTA" 3.33333333333333 5.85714285714286
"female" "GTA" 4.66666666666667 4.42857142857143
"female" "GTA" 2 5.28571428571429
"female" "GTA" 3.66666666666667 3.57142857142857
"female" "GTA" 3.66666666666667 5.14285714285714
"female" "GTA" 5.5 5.57142857142857
"female" "GTA" 3.66666666666667 4.14285714285714
"female" "GTA" 4.5 5.14285714285714
"female" "GTA" 1 6.71428571428571
"female" "GTA" 4.33333333333333 5.85714285714286
"male" "GTA" 4.83333333333333 5.71428571428571
"male" "GTA" 4.66666666666667 4.28571428571429
"male" "GTA" 3.66666666666667 5.57142857142857
"female" "GTA" 4.16666666666667 5.85714285714286
"female" "GTA" 4.33333333333333 4
"male" "GTA" 2.5 3
"male" "GTA" 4.83333333333333 5.14285714285714
"female" "HalfLife" 4.33333333333333 6
